INFRARED,ULTRASONIC,DISTANCE(cm),TYPE
452,37,10,PLANA
343,59,15,PLANA
270,67,20,PLANA
220,88,25,PLANA
203,104,30,PLANA
169,119,35,PLANA
148,137,40,PLANA
137,154,45,PLANA
129,170,50,PLANA
117,189,55,PLANA
114,205,60,PLANA
448,36,10,PLANA
329,56,15,PLANA
258,71,20,PLANA
220,88,25,PLANA
189,102,30,PLANA
169,120,35,PLANA
149,136,40,PLANA
147,151,45,PLANA
125,169,50,PLANA
116,187,55,PLANA
119,209,60,PLANA
461,36,10,PLANA
329,57,15,PLANA
258,71,20,PLANA
220,89,25,PLANA
198,104,30,PLANA
179,120,35,PLANA
153,135,40,PLANA
141,153,45,PLANA
143,169,50,PLANA
133,182,55,PLANA
118,201,60,PLANA
448,35,10,PLANA
321,58,15,PLANA
273,70,20,PLANA
216,88,25,PLANA
189,103,30,PLANA
170,119,35,PLANA
148,134,40,PLANA
137,154,45,PLANA
125,169,50,PLANA
129,186,55,PLANA
114,202,60,PLANA
433,37,10,PLANA
317,58,15,PLANA
273,67,20,PLANA
217,88,25,PLANA
189,101,30,PLANA
170,121,35,PLANA
153,134,40,PLANA
141,152,45,PLANA
139,173,50,PLANA
124,189,55,PLANA
118,204,60,PLANA
448,36,10,PLANA
325,57,15,PLANA
269,71,20,PLANA
219,88,25,PLANA
192,101,30,PLANA
170,120,35,PLANA
152,136,40,PLANA
141,153,45,PLANA
129,169,50,PLANA
121,189,55,PLANA
117,201,60,PLANA
448,46,10,CONVEXA
322,909,15,CONVEXA
268,197,20,CONVEXA
212,206,25,CONVEXA
189,189,30,CONVEXA
164,159,35,CONVEXA
144,147,40,CONVEXA
132,161,45,CONVEXA
125,176,50,CONVEXA
117,193,55,CONVEXA
112,204,60,CONVEXA
479,93,10,CONCAVA
343,160,15,CONCAVA
288,73,20,CONCAVA
236,88,25,CONCAVA
205,103,30,CONCAVA
189,120,35,CONCAVA
177,132,40,CONCAVA
171,151,45,CONCAVA
152,164,50,CONCAVA
141,187,55,CONCAVA
136,196,60,CONCAVA
462,158,10,CONVEXA
332,58,15,CONVEXA
267,123,20,CONVEXA
221,197,25,CONVEXA
189,206,30,CONVEXA
170,179,35,CONVEXA
149,142,40,CONVEXA
137,153,45,CONVEXA
129,168,50,CONVEXA
121,185,55,CONVEXA
124,204,60,CONVEXA
474,86,10,CONCAVA
348,63,15,CONCAVA
289,80,20,CONCAVA
247,93,25,CONCAVA
212,100,30,CONCAVA
193,119,35,CONCAVA
180,138,40,CONCAVA
169,160,45,CONCAVA
160,176,50,CONCAVA
152,179,55,CONCAVA
149,178,60,CONCAVA
451,171,10,CONVEXA
325,61,15,CONVEXA
274,184,20,CONVEXA
219,177,25,CONVEXA
193,186,30,CONVEXA
169,179,35,CONVEXA
148,147,40,CONVEXA
137,154,45,CONVEXA
129,172,50,CONVEXA
121,186,55,CONVEXA
118,196,60,CONVEXA
443,122,10,CONCAVA
327,122,15,CONCAVA
259,78,20,CONCAVA
227,88,25,CONCAVA
204,102,30,CONCAVA
185,124,35,CONCAVA
169,144,40,CONCAVA
157,172,45,CONCAVA
156,176,50,CONCAVA
149,188,55,CONCAVA
145,208,60,CONCAVA
422,197,10,CONVEXA
318,60,15,CONVEXA
259,1023,20,CONVEXA
220,172,25,CONVEXA
188,187,30,CONVEXA
169,193,35,CONVEXA
149,143,40,CONVEXA
137,156,45,CONVEXA
136,171,50,CONVEXA
117,185,55,CONVEXA
109,202,60,CONVEXA
477,1023,10,CONCAVA
335,185,15,CONCAVA
274,71,20,CONCAVA
231,88,25,CONCAVA
204,104,30,CONCAVA
185,119,35,CONCAVA
169,138,40,CONCAVA
157,150,45,CONCAVA
152,168,50,CONCAVA
145,185,55,CONCAVA
137,178,60,CONCAVA
451,43,10,CONVEXA
336,60,15,CONVEXA
259,152,20,CONVEXA
219,183,25,CONVEXA
192,177,30,CONVEXA
169,138,35,CONVEXA
164,152,40,CONVEXA
141,157,45,CONVEXA
133,175,50,CONVEXA
124,176,55,CONVEXA
113,189,60,CONVEXA
465,176,10,CONCAVA
340,61,15,CONCAVA
270,71,20,CONCAVA
235,88,25,CONCAVA
204,105,30,CONCAVA
189,119,35,CONCAVA
169,145,40,CONCAVA
161,152,45,CONCAVA
148,167,50,CONCAVA
145,183,55,CONCAVA
137,179,60,CONCAVA
473,38,10,CONVEXA
328,58,15,CONVEXA
265,184,20,CONVEXA
219,176,25,CONVEXA
189,187,30,CONVEXA
169,125,35,CONVEXA
149,144,40,CONVEXA
132,158,45,CONVEXA
125,174,50,CONVEXA
117,188,55,CONVEXA
113,197,60,CONVEXA
470,965,10,CONCAVA
336,1023,15,CONCAVA
274,71,20,CONCAVA
228,90,25,CONCAVA
204,104,30,CONCAVA
202,125,35,CONCAVA
169,138,40,CONCAVA
159,159,45,CONCAVA
165,170,50,CONCAVA
141,181,55,CONCAVA
136,178,60,CONCAVA
